property_type,society,sector,price_in_cr,price_per_sqft,total_area_sqft,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,luxury_score,area_per_bedroom,coordinates,latitude,longitude
Flat,m3m golfestate,sector 65,8.6,21500.0,4000.0,4,4,3,3.0,0,1,0,0,0,east,Unfurnished,Relatively New,0.5342288642860399,1000.0,"28.4030° N, 77.0690° E",28.403,77.069
Independent House,Vipul Tatvam Villa,sector 48,10.53,29250.0,4000.0,4,5,3+,2.0,1,1,0,1,1,north-east,Semi-Furnished,Old Property,0.8813867260549119,1000.0,"28.4177° N, 77.0359° E",28.4177,77.0359
Independent House,Emaar MGF Marbella,sector 66,18.0,57142.0,3150.0,5,6,2,2.0,1,1,1,1,0,north-east,Unfurnished,Relatively New,1.202405539071264,630.0,"28.3925° N, 77.0541° E",28.3925,77.0541
Independent House,"Sector 47, Gurgaon",sector 47,3.75,41667.0,900.0,3,3,2,3.0,0,0,0,1,0,north-east,Unfurnished,Old Property,0.7429700547868098,300.0,"28.4276° N, 77.0492° E",28.4276,77.0492
Independent Builder Floor,"Block N, Mayfield garden, Gurgaon",sector 51,3.3,12992.0,2540.0,3,4,2,3.0,0,1,0,0,0,north,Semi-Furnished,New Property,0.3599807943436079,846.6666666666666,"28.4320° N, 77.0686° E",28.432,77.0686
Independent House,"Sector 9A, Gurgaon",sector 9,9.4,30539.0,3078.0,11,11,3+,3.0,1,1,0,1,0,north-east,Furnished,Moderately Old,1.0724555544601204,279.8181818181818,"28.4603° N, 77.0000° E",28.4603,77.0
Flat,central park resorts,sector 48,5.3,31793.0,1667.0,2,2,3+,12.0,1,0,0,0,0,east,Unfurnished,Relatively New,0.1275465379242346,833.5,"28.4177° N, 77.0359° E",28.4177,77.0359
Flat,conscient elevate,sector 59,8.7,25625.0,3395.0,4,4,3,21.0,0,1,0,0,0,north-east,Semi-Furnished,New Property,1.0346270735480247,848.75,"28.4051° N, 77.1097° E",28.4051,77.1097
Independent Builder Floor,Ardee City,sector 52,2.4,14117.0,1700.0,4,4,3+,1.0,0,0,0,0,0,east,Semi-Furnished,New Property,0.3599807943436079,425.0,"28.4379° N, 77.0785° E",28.4379,77.0785
Independent House,"Block J Pocket C Palam Vihar, Gurgaon",sector 1,12.5,27778.0,4500.0,5,6,2,3.0,1,0,0,1,0,east,Unfurnished,Old Property,0.1275465379242346,900.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Independent House,"Sector 23, Gurgaon",sector 23,10.49,24435.0,4293.0,2,1,0,1.0,0,0,0,0,0,south-east,Unfurnished,Old Property,0.0,2146.5,"28.5121° N, 77.0478° E",28.5121,77.0478
Flat,puri diplomatic greens,sector 111,3.75,17045.0,2200.0,3,4,2,17.0,0,1,0,0,0,north,Unfurnished,Moderately Old,1.2683285257377874,733.3333333333334,"28.5238° N, 77.0320° E",28.5238,77.032
Independent House,"Palam Vihar, Gurgaon",sector 1,10.2,21066.0,4842.0,6,6,3+,3.0,1,1,0,1,0,north-east,Unfurnished,Old Property,0.3465960199121562,807.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,pyramid fusion homes,sector 70,0.78,13194.0,591.0,2,2,1,6.0,0,0,0,0,0,north,Unfurnished,New Property,0.1275465379242346,295.5,"28.3968° N, 77.0233° E",28.3968,77.0233
Independent Builder Floor,Ultra Luxurious Builder Floor,sector 26,4.95,15277.0,3240.0,4,4,2,3.0,0,1,1,0,0,south-west,Semi-Furnished,Relatively New,0.8998928678254854,810.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Flat,brisk lumbini terrace homes,sector 109,2.4,8462.0,2836.0,4,5,3+,9.0,0,1,0,1,0,east,Unfurnished,Relatively New,1.329549291364257,709.0,"28.5073° N, 77.0089° E",28.5073,77.0089
Independent House,Eros Rosewood City,sector 49,4.5,32680.0,1377.0,3,3,1,2.0,0,0,0,0,0,not available,Unfurnished,Moderately Old,0.0,459.0,"28.4121° N, 77.0480° E",28.4121,77.048
Independent House,Ansal API Esencia,sector 67,8.5,31481.0,2700.0,5,6,3+,2.0,1,1,1,1,0,west,Semi-Furnished,Relatively New,1.3649117126625223,540.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Flat,rose apartment,sector 28,3.95,17173.0,2850.0,3,3,3+,6.0,0,1,0,0,0,east,Unfurnished,Old Property,0.8039457135515081,950.0,"28.4728° N, 77.0865° E",28.4728,77.0865
Independent House,"Alipur, Gurgaon",sector 105,0.5,5555.0,900.0,1,2,1,1.0,0,0,0,0,1,not available,Unfurnished,Relatively New,0.0,900.0,"28.4952° N, 77.0114° E",28.4952,77.0114
Flat,vipul lavanya,sector 81,1.09,8857.0,1225.0,2,2,2,11.0,0,0,0,0,0,east,Unfurnished,Moderately Old,1.3649117126625223,612.5,"28.3867° N, 76.9485° E",28.3867,76.9485
Flat,chintels serenity,sector 109,2.85,14578.0,1955.0,3,4,3,10.0,0,1,0,0,0,north-east,Semi-Furnished,Relatively New,1.3051917365869712,651.6666666666666,"28.5073° N, 77.0089° E",28.5073,77.0089
Flat,ireo the corridors,sector 67,2.95,15364.0,1920.0,3,3,3,6.0,0,1,1,0,0,west,Semi-Furnished,Relatively New,1.0858264951465455,640.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,"Sector 41, Gurgaon",sector 41,8.0,49383.0,1620.0,3,3,2,3.0,1,1,0,1,0,north-east,Furnished,Relatively New,0.8813867260549119,540.0,"28.4557° N, 77.0632° E",28.4557,77.0632
Flat,experion windchants,sector 112,4.8,17130.0,2802.0,3,3,3,8.0,0,1,0,0,0,north,Unfurnished,Moderately Old,0.8226433198483627,934.0,"28.5189° N, 77.0183° E",28.5189,77.0183
Independent House,Duplex villa Gurgaon,sector 25,8.75,45220.0,1935.0,5,6,3+,3.0,1,1,1,1,0,north-east,Semi-Furnished,Moderately Old,1.3649117126625223,387.0,"28.4844° N, 77.0860° E",28.4844,77.086
Independent Builder Floor,Mayfield Gardens,sector 50,3.7,13703.0,2700.0,4,4,2,4.0,0,1,0,1,0,east,Semi-Furnished,New Property,1.27034337265483,675.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Independent House,"DLF, Luxury Duplex House Design",sector 24,12.25,43073.0,2844.0,4,6,3+,2.0,1,1,1,1,0,east,Semi-Furnished,Moderately Old,1.2877501839940229,711.0,"28.4939° N, 77.1038° E",28.4939,77.1038
Independent House,Shiv Shankar Society,sector 51,0.89,4944.0,1800.0,4,4,2,2.0,0,0,0,0,0,not available,Unfurnished,New Property,0.0,450.0,"28.4320° N, 77.0686° E",28.432,77.0686
Independent House,"Sector 66, Gurgaon",sector 66,18.0,55556.0,3240.0,5,5,3+,2.0,1,1,1,1,0,north-east,Unfurnished,New Property,1.212502361740376,648.0,"28.3925° N, 77.0541° E",28.3925,77.0541
Independent Builder Floor,Ansal API Versalia,sector 67,2.62,10693.0,2450.0,4,4,2,3.0,0,1,0,1,0,west,Semi-Furnished,New Property,1.0958726903366145,612.5,"28.3859° N, 77.0608° E",28.3859,77.0608
Flat,dlf regal gardens,sector 90,1.99,11192.0,1778.0,3,3,3+,16.0,1,1,1,1,0,east,Furnished,Relatively New,1.3649117126625223,592.6666666666666,"28.4085° N, 76.9369° E",28.4085,76.9369
Independent Builder Floor,"Sushant Lok 3 Extension, Gurgaon",sector 57,3.75,13888.0,2700.0,4,4,3+,3.0,0,1,0,1,0,east,Semi-Furnished,New Property,1.3649117126625223,675.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Independent House,"Nirvana Country, Gurgaon",sector 50,16.0,49383.0,3240.0,5,6,3+,3.0,1,1,1,1,0,north-west,Semi-Furnished,Moderately Old,1.3649117126625223,648.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Independent Builder Floor,"Palam Vihar, Gurgaon",sector 1,3.65,7799.0,4680.0,4,4,3+,1.0,0,0,0,0,0,not available,Unfurnished,Relatively New,0.0,1170.0,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,mahindra aura,sector 110,2.81,13761.0,2042.0,3,4,3,6.0,0,1,0,0,0,north-west,Unfurnished,Relatively New,0.1275465379242346,680.6666666666666,"28.5145° N, 77.0197° E",28.5145,77.0197
Flat,dlf garden city floors,sector 92,2.6,11556.0,2250.0,4,4,3+,2.0,0,1,0,0,1,north,Unfurnished,New Property,0.0,562.5,"28.4079° N, 76.9153° E",28.4079,76.9153
Independent House,dlf phase-4,sector 28,9.95,40946.0,2430.0,5,6,3+,2.0,1,1,1,1,0,north,Semi-Furnished,Moderately Old,1.3274002576019963,486.0,"28.4728° N, 77.0865° E",28.4728,77.0865
Independent House,"Block Q DLF City Phase-2, Gurgaon",sector 25,3.3,18333.0,1800.0,4,4,3,4.0,1,1,1,1,0,west,Semi-Furnished,New Property,0.1377911747804921,450.0,"28.4844° N, 77.0860° E",28.4844,77.086
Independent Builder Floor,Ultra Luxury Builder Floor In Sushant Lok-3,sector 57,3.6,13333.0,2700.0,4,4,2,1.0,0,1,0,1,0,north,Semi-Furnished,New Property,1.1291780942446248,675.0,"28.4232° N, 77.0752° E",28.4232,77.0752
Flat,shapoorji pallonji joyville gurugram,sector 102,2.4,14184.0,1692.0,3,3,3,7.0,0,0,0,0,0,west,Unfurnished,New Property,0.1275465379242346,564.0,"28.4750° N, 76.9715° E",28.475,76.9715
Independent Builder Floor,Super Luxury Two Side Open,sector 25,5.9,16307.0,3618.0,4,4,2,1.0,0,0,0,0,0,south-east,Semi-Furnished,New Property,0.8998928678254854,904.5,"28.4844° N, 77.0860° E",28.4844,77.086
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,3.65,13513.0,2701.0,4,4,2,2.0,0,1,0,0,1,east,Semi-Furnished,New Property,0.3599807943436079,675.25,"28.4629° N, 77.0772° E",28.4629,77.0772
Flat,suncity platinum towers,sector 28,7.95,29608.0,2685.0,3,4,3+,11.0,1,1,0,1,1,north,Unfurnished,Relatively New,0.8336471606085244,895.0,"28.4728° N, 77.0865° E",28.4728,77.0865
Flat,dlf regal gardens,sector 90,2.1,11986.0,1752.0,3,3,3+,5.0,0,0,0,0,1,north-west,Unfurnished,Relatively New,0.1275465379242346,584.0,"28.4085° N, 76.9369° E",28.4085,76.9369
Independent House,Vipul Tatvam Villa,sector 48,10.0,33951.0,3240.0,4,5,3,2.0,0,1,0,1,0,north-east,Semi-Furnished,Moderately Old,0.2454587427462726,810.0,"28.4177° N, 77.0359° E",28.4177,77.0359
Flat,m3m golfestate,sector 65,7.99,23758.0,3363.0,3,3,3,12.0,0,1,0,0,0,east,Semi-Furnished,Moderately Old,0.1275465379242346,1121.0,"28.4030° N, 77.0690° E",28.403,77.069
Flat,chintels serenity,sector 109,4.2,14358.0,2925.0,4,5,2,9.0,0,1,0,1,0,north-east,Unfurnished,Relatively New,0.1275465379242346,731.25,"28.5073° N, 77.0089° E",28.5073,77.0089
Flat,ireo the corridors,sector 67,2.17,16743.0,1296.0,2,2,2,3.0,0,0,1,0,1,east,Unfurnished,Relatively New,0.1275465379242346,648.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Independent House,Ansal Sushant Residency,sector 56,7.5,27778.0,2700.0,4,4,3,4.0,1,1,1,1,0,west,Unfurnished,Old Property,0.7336370444592334,675.0,"28.4245° N, 77.0991° E",28.4245,77.0991
Independent House,"S Block DLF Phase 3, Gurgaon",sector 24,3.0,17543.0,1710.0,3,3,3,4.0,0,0,0,0,0,not available,Unfurnished,New Property,0.0,570.0,"28.4939° N, 77.1038° E",28.4939,77.1038
Flat,dlf the primus,sector 82,2.72,17685.0,1799.0,3,3,3+,29.0,0,0,0,0,0,east,Semi-Furnished,Moderately Old,0.1275465379242346,599.6666666666666,"28.3935° N, 76.9600° E",28.3935,76.96
Independent Builder Floor,Mayfield Gardens,sector 50,3.15,11666.0,2700.0,4,4,2,1.0,0,1,0,0,0,north-east,Semi-Furnished,New Property,0.6253833378741681,675.0,"28.4178° N, 77.0628° E",28.4178,77.0628
Flat,pareena mi casa,sector 68,2.48,12406.0,1999.0,3,4,3,15.0,0,1,0,0,0,north-east,Unfurnished,Relatively New,0.1275465379242346,666.3333333333334,"28.3853° N, 77.0484° E",28.3853,77.0484
Flat,smart world gems,sector 89,1.35,11250.0,1200.0,2,2,2,1.0,1,0,0,0,0,east,Unfurnished,New Property,1.3649117126625223,600.0,"28.4253° N, 76.9439° E",28.4253,76.9439
Independent House,"DLF Phase 1, Gurgaon",sector 26,5.85,43333.0,1350.0,6,6,3+,2.0,0,0,0,1,0,north-west,Unfurnished,Moderately Old,0.7239874475077455,225.0,"28.4757° N, 77.1032° E",28.4757,77.1032
Flat,m3m heights,sector 65,2.4,19032.0,1261.0,2,2,3,22.0,0,0,0,0,1,north-west,Unfurnished,Relatively New,0.0,630.5,"28.4030° N, 77.0690° E",28.403,77.069
Flat,tulip purple,sector 69,2.7,11270.0,2400.0,4,5,3+,1.0,0,1,0,0,0,east,Furnished,Relatively New,1.3649117126625223,600.0,"28.3966° N, 77.0341° E",28.3966,77.0341
Independent House,Experion Windchants,sector 112,14.52,19621.0,7400.0,5,6,3+,2.0,0,1,1,0,0,east,Unfurnished,Relatively New,1.0547392608278665,1480.0,"28.5189° N, 77.0183° E",28.5189,77.0183
Flat,hero homes,sector 104,1.56,14194.0,1099.0,2,2,3,18.0,0,0,0,0,0,north-east,Unfurnished,New Property,0.3707173950255344,549.5,"28.4788° N, 76.9960° E",28.4788,76.996
Independent House,"Palam Vihar, Gurgaon",sector 1,4.3,27617.0,1557.0,4,4,3+,2.0,1,1,0,1,0,not available,Unfurnished,Old Property,0.0,389.25,"28.3663° N, 76.9456° E",28.3663,76.9456
Flat,godrej habitat,sector 3,1.4,9708.0,1444.0,2,2,3,8.0,0,1,0,0,0,east,Unfurnished,New Property,0.5342288642860399,722.0,"28.4909° N, 77.0176° E",28.4909,77.0176
Independent House,"Sector 4, Gurgaon",sector 4,7.75,17222.0,4500.0,4,4,3+,1.0,0,0,0,1,0,south-west,Unfurnished,Moderately Old,1.1663591011269938,1125.0,"28.4738° N, 77.0107° E",28.4738,77.0107
Flat,central park resorts,sector 48,7.75,28503.0,2719.0,3,3,3,9.0,0,1,0,0,0,north,Semi-Furnished,Moderately Old,1.3274002576019963,906.3333333333334,"28.4177° N, 77.0359° E",28.4177,77.0359
Flat,bestech park view grand spa,sector 81,4.15,13029.0,3185.0,4,5,2,7.0,0,1,0,0,0,north-west,Unfurnished,Moderately Old,0.8730286558567013,796.25,"28.3867° N, 76.9485° E",28.3867,76.9485
Independent House,"Sector 72, Gurgaon",sector 72,11.0,33485.0,3285.0,5,6,3+,1.0,0,0,0,0,1,not available,Unfurnished,New Property,0.3465960199121562,657.0,"28.4225° N, 77.0211° E",28.4225,77.0211
Flat,ashiana anmol,sector 33,2.05,11542.0,1776.0,3,3,3,14.0,0,0,0,0,0,north-east,Unfurnished,New Property,0.6109441221403384,592.0,"28.4420° N, 77.0207° E",28.442,77.0207
Independent House,damas north garo hills,sector 45,2.6,15294.0,1700.0,2,4,0,4.0,0,0,0,0,0,not available,Unfurnished,New Property,0.0,850.0,"28.4466° N, 77.0660° E",28.4466,77.066
Flat,eldeco accolade,sector 33,1.2,9456.0,1269.0,2,2,3,5.0,0,0,0,0,0,north-east,Unfurnished,Relatively New,0.659082961132787,634.5,"28.4420° N, 77.0207° E",28.442,77.0207
Independent House,"Sector 7, Gurgaon",sector 7,2.1,23333.0,900.0,3,3,3,1.0,1,0,0,0,0,east,Unfurnished,Relatively New,0.4650977471363258,300.0,"28.4644° N, 77.0143° E",28.4644,77.0143
Independent House,"Patel Nagar, Gurgaon",sector 15,2.25,12500.0,1800.0,7,4,3,2.0,0,0,0,0,0,not available,Unfurnished,Old Property,0.0,257.1428571428572,"28.4621° N, 77.0464° E",28.4621,77.0464
Independent House,"Sector 9, Gurgaon",sector 9,3.1,10071.0,3078.0,4,5,2,4.0,0,1,0,0,0,north,Semi-Furnished,New Property,0.3465960199121562,769.5,"28.4603° N, 77.0000° E",28.4603,77.0
Flat,tarc maceo,sector 91,1.45,11068.0,1310.0,2,2,2,12.0,0,0,0,1,0,north-east,Semi-Furnished,Relatively New,1.3649117126625223,655.0,"28.4014° N, 76.9225° E",28.4014,76.9225
Independent House,Sobha City,sector 108,9.0,37037.0,2430.0,4,4,3+,3.0,1,1,0,0,0,east,Unfurnished,Relatively New,1.2469780741425929,607.5,"28.5134° N, 76.9830° E",28.5134,76.983
Independent Builder Floor,DLF Phase - 2,sector 25,6.9,21230.0,3250.0,4,5,2,3.0,0,1,0,0,0,north,Semi-Furnished,Relatively New,0.3599807943436079,812.5,"28.4844° N, 77.0860° E",28.4844,77.086
Independent Builder Floor,Ansal API Esencia,sector 67,2.7,11739.0,2300.0,4,4,2,2.0,1,1,0,1,1,west,Furnished,New Property,1.241077710345214,575.0,"28.3859° N, 77.0608° E",28.3859,77.0608
Flat,dlf belvedere park,sector 25,3.6,21040.0,1711.0,4,4,2,11.0,0,0,0,0,0,south,Semi-Furnished,Old Property,0.6429952405379171,427.75,"28.4844° N, 77.0860° E",28.4844,77.086
Independent House,Vipul Tatvam Villa,sector 48,11.0,33951.0,3240.0,4,5,3+,3.0,1,1,0,1,1,south-east,Semi-Furnished,Moderately Old,1.3649117126625223,810.0,"28.4177° N, 77.0359° E",28.4177,77.0359
