property_name,link,society,price,area
"8 Bedroom House in Sector-22A, Gurgaon",https://www.99acres.com/8-bhk-bedroom-independent-house-villa-for-sale-in-sector-22a-gurgaon-2367-sq-ft-spid-X83955996,"Sector-22A, Gurgaon",₹6.5 Cr,"₹27,461 /sqft"
"5 Bedroom House in Sector 33, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-unitech-uniworld-resorts-sector-33-gurgaon-4518-sq-ft-spid-M83857262,Unitech Uniworld Resorts,₹13.5 Cr,"₹29,880 /sqft"
"3 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3000-sq-ft-spid-G83834384,Vipul Tatvam Villa,₹7.85 Cr,"₹26,166 /sqft"
"5 Bedroom House in Block-A, DLF City Phase 1, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-block-a-dlf-city-phase-1-gurgaon-4500-sq-ft-r1-spid-X82169698,"Block-A, DLF City Phase 1, Gurgaon",₹35 Cr,"₹77,778 /sqft"
"4 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-3240-sq-ft-spid-R83737780,Ansals Palam Vihar,₹6.5 Cr,"₹20,062 /sqft"
"3 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-1557-sq-ft-spid-O83714436,Ansals Palam Vihar,₹3.85 Cr,"₹24,727 /sqft"
"5 Bedroom House in Sector 99, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-assotech-blith-sector-99-gurgaon-2583-sq-ft-spid-V83676190,Assotech Blith,₹7.5 Cr,"₹29,036 /sqft"
"4 Bedroom House in Sector 48, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-vipul-tatvam-villa-sector-48-gurgaon-3240-sq-ft-spid-T83650458,Vipul Tatvam Villa,₹10.99 Cr,"₹33,920 /sqft"
"12 Bedroom House in Palam Vihar, Gurgaon",https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-ansals-palam-vihar-palam-vihar-gurgaon-7200-sq-ft-spid-M83642964,Ansals Palam Vihar,₹16 Cr,"₹22,222 /sqft"
"6 Bedroom House in Sector 54, Gurgaon",https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-sector-54-gurgaon-4518-sq-ft-r11-spid-Z63004198,Suncity Township,₹33 Cr,"₹57,548 /sqft"
