property_name,link,society,price,area,areawithtype
"3 BHK Independent Builder Floor in Sector 63A, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-anant-raj-estates-sector-63a-gurgaon-1611-sq-ft-spid-L86087484,Anant Raj Estates,₹2.3 Cr,"₹14,277 /sqft","1,611 sqft (150 sqm) Carpet Area"
"4 BHK Independent Builder Floor in Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sushant-lok-phase-1-gurgaon-2238-sq-ft-spid-P85624824,Sushant Lok - 1,₹4.1 Cr,"₹18,319 /sqft","2,238 sqft (208 sqm) Carpet Area"
"5 BHK Independent Builder Floor in Sector 48, Gurgaon",https://www.99acres.com/5-bhk-bedroom-independent-builder-floor-for-sale-in-vipul-world-sector-48-gurgaon-3500-sq-ft-spid-P82395986,Vipul World,₹5.35 Cr,"₹15,285 /sqft","3,500 sqft (325 sqm) Built-up Area"
"4 BHK Independent Builder Floor in DLF Phase 4, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-4-luxury-builder-floors-dlf-phase-4-gurgaon-4800-sq-ft-spid-J85240134,DLF Phase 4 Luxury Builder Floors,₹12.85 Cr,"₹26,770 /sqft","4,800 sqft (446 sqm) Carpet Area"
"4 BHK Independent Builder Floor in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-S85847612,"Block C, Sushant Lok Phase 1, Gurgaon",₹3.95 Cr,"₹14,630 /sqft","2,700 sqft (251 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Block C, Sushant Lok Phase 1, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-1935-sq-ft-spid-P85846468,"Block C, Sushant Lok Phase 1, Gurgaon",₹3.85 Cr,"₹19,897 /sqft","1,935 sqft (180 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-luxury-builder-floors-dlf-phase-2-gurgaon-1650-sq-ft-spid-U84718486,DLF Luxury Builder Floors,₹5.5 Cr,"₹33,333 /sqft","1,650 sqft (153 sqm) Carpet Area"
"3 BHK Independent Builder Floor in Sector 7, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-7-gurgaon-1950-sq-ft-spid-J84841686,"Sector 7, Gurgaon",₹1.95 Cr,"₹10,000 /sqft","1,950 sqft (181 sqm) Super Built-up Area"
"3 BHK Independent Builder Floor in Sector 89, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-smart-world-gems-sector-89-gurgaon-1494-sq-ft-spid-C85502930,Smart World Gems,₹1.59 Cr,"₹10,642 /sqft","1,494 sqft (139 sqm) Super Built-up Area"
"4 BHK Independent Builder Floor in Sector 57, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-2700-sq-ft-spid-N84761174,"Sector 57, Gurgaon",₹3.15 Cr,"₹11,666 /sqft","2,700 sqft (251 sqm) Carpet Area"
"4 BHK Independent Builder Floor in Block-A, DLF City Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-a-dlf-city-phase-1-gurgaon-4518-sq-ft-spid-U85798848,"Block-A, DLF City Phase 1, Gurgaon",₹7 Cr,"₹15,494 /sqft","4,518 sqft (420 sqm) Carpet Area"
"3 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-1600-sq-ft-spid-S85691504,DLF Phase - 2,₹3.6 Cr,"₹22,500 /sqft","1,600 sqft (149 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3250-sq-ft-spid-Y85690002,DLF Phase - 2,₹6.9 Cr,"₹21,230 /sqft","3,250 sqft (302 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 1, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-2350-sq-ft-spid-V85606770,DLF Phase - 1,₹5.3 Cr,"₹22,553 /sqft","2,350 sqft (218 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2700-sq-ft-spid-N83857936,"DLF Phase 2, Gurgaon",₹6.8 Cr,"₹25,185 /sqft","2,700 sqft (251 sqm) Carpet Area"
"4 BHK Independent Builder Floor in DLF Phase 2, Gurgaon",https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2300-sq-ft-spid-T83492080,"DLF Phase 2, Gurgaon",₹4.25 Cr,"₹18,478 /sqft","2,300 sqft (214 sqm) Carpet Area"
