property_id,property_type,link,society,sector,price_in_cr,price_per_sqft,areawithtype,plot_area,super_built_up_area,built_up_area,carpet_area,bedrooms,bathrooms,balcony,floornum,study_room,servant_room,store_room,pooja_room,others,facing,furnishing_type,age_possession_category,features,luxury_score
P86033076,Independent Builder Floor,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-niho-scottish-mall-sector-56-gurgaon-3240-sq-ft-spid-P86033076,Niho Scottish Mall,sector 56,4.0,12346.0,"3,240 sqft (301 sqm) Carpet Area",,,,3240.0,4,4,2,1,0,0,0,0,0,not available,Unfurnished,New Property,,0.0
Y84228358,Flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1626-sq-ft-spid-Y84228358,smart world orchard,sector 61,2.7,18620.0,"1,626 sqft (151 sqm) Super Built-up Area",,1626.0,,,3,3,3,2,1,0,0,0,1,north-east,Semi-Furnished,Relatively New,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",1.3649117126625225
F84069060,Independent House,https://www.99acres.com/6-bhk-bedroom-independent-house-villa-for-sale-in-golf-course-extension-road-gurgaon-900-sq-ft-spid-F84069060,"Golf Course Ext Road, Gurgaon",sector 61,1.2,13333.0,900 sqft (83.61 sqm) Plot Area,900.0,,,,6,2,2,2,0,0,0,0,0,not available,Unfurnished,Moderately Old,,0.0
Z83612102,Independent House,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-7-gurgaon-1440-sq-ft-spid-Z83612102,"Sector 7, Gurgaon",sector 7,3.1,21528.0,1440 sqft (133.78 sqm) Plot Area,1440.0,,,,3,3,2,1,0,0,0,1,0,south-west,Unfurnished,Old Property,['Feng Shui / Vaastu Compliant'],0.0
D85018318,Flat,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tulip-yellow-sector-69-gurgaon-1704-sq-ft-spid-D85018318,tulip yellow,sector 69,2.3,18707.0,"1,704 sqft (158 sqm) Super Built-up Area",,1704.0,,,3,3,3+,3,0,0,0,0,0,north-east,Unfurnished,New Property,"['Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",0.9302308511919701
O84667090,Independent House,https://www.99acres.com/19-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-1-gurgaon-5400-sq-ft-spid-O84667090,"Sector 15 Part 1, Gurgaon",sector 15,7.5,55555.0,1350 sqft (125.42 sqm) Plot Area | 5400 sqft (501.68 sqm) Built-up Area,1350.0,,5400.0,,19,15,3+,5,0,1,0,0,1,east,Unfurnished,New Property,"['Feng Shui / Vaastu Compliant', 'Park', 'Visitor Parking']",0.0
F81368425,Independent House,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-g-block-dlf-city-phase-1-gurgaon-1800-sq-ft-r1-spid-F81368425,"G block DLF City Phase 1, Gurgaon",sector 26,7.6,50666.0,1500 sqft (139.35 sqm) Plot Area | 1800 sqft (167.23 sqm) Built-up Area | 1650 sqft (153.29 sqm) Carpet Area,1500.0,,1800.0,1650.0,4,4,2,2,1,1,1,1,0,north-east,Semi-Furnished,Relatively New,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",1.3649117126625225
Z84678542,Independent Builder Floor,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-south-city-2-gurgaon-2430-sq-ft-spid-Z84678542,"South City 2, Gurgaon",sector 49,3.5,14403.0,"2,430 sqft (226 sqm) Super Built-up Area",,2430.0,,,4,4,2,2,0,0,0,0,1,north-east,Semi-Furnished,New Property,"['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Piped-gas', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",0.35998079434360797
I82239962,Independent House,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-39-gurgaon-1665-sq-ft-r1-spid-I82239962,"Sector 39, Gurgaon",sector 39,6.0,36036.0,1665 sqft (154.68 sqm) Plot Area | 1665 sqft (154.68 sqm) Built-up Area | 1350 sqft (125.42 sqm) Carpet Area,1665.0,,1665.0,1350.0,12,12,3+,4,1,0,0,0,0,north-east,Unfurnished,Relatively New,"['Feng Shui / Vaastu Compliant', 'High Ceiling Height', 'Bank Attached Property', 'Fitness Centre / GYM', 'Waste Disposal']",0.29266961396282
P84107850,Flat,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-grand-spa-sector-81-gurgaon-3185-sq-ft-spid-P84107850,bestech park view grand spa,sector 81,4.05,12715.0,"3,185 sqft (296 sqm) Super Built-up Area",,3185.0,,,4,5,2,9,0,1,0,0,0,west,Semi-Furnished,Relatively New,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",0.37149849250715344
W83951642,Independent House,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-phase-1-gurgaon-4500-sq-ft-spid-W83951642,"DLF Phase 1, Gurgaon",sector 26,19.0,42222.0,4500 sqft (418.06 sqm) Plot Area,4500.0,,,,5,6,3+,3,1,1,1,1,0,north-west,Semi-Furnished,Moderately Old,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Fitness Centre / GYM', 'Club house / Community Center']",1.3649117126625225
